from,to,action,p(s'a|s)
82,1225,1,0.038461538461538464
82,5702,3,0.038461538461538464
82,1719,5,0.11538461538461539
82,1719,0,0.038461538461538464
82,6084,5,0.038461538461538464
82,6084,0,0.038461538461538464
82,6265,2,0.038461538461538464
82,5494,2,0.038461538461538464
82,1266,1,0.11538461538461539
82,6392,3,0.038461538461538464
82,3517,3,0.038461538461538464
82,3072,2,0.038461538461538464
83,3215,0,1.0
84,84,4,0.21739130434782608
84,84,1,0.08695652173913043
84,84,5,0.13043478260869565
84,1371,2,0.043478260869565216
84,4062,3,0.17391304347826086
84,4298,2,0.043478260869565216
84,799,0,0.13043478260869565
84,2679,3,0.043478260869565216
84,4830,1,0.043478260869565216
84,1184,0,0.08695652173913043
85,3343,0,0.125
85,85,0,0.0625
85,85,4,0.0625
85,85,5,0.0625
85,2932,0,0.0625
85,2765,4,0.125
85,6461,2,0.0625
85,4405,2,0.125
85,2430,2,0.0625
85,277,1,0.125
85,3746,2,0.0625
85,1120,1,0.0625
86,5596,1,0.5
86,2873,1,0.5
87,87,2,0.09821428571428571
87,87,5,0.1875
87,87,4,0.17857142857142858
87,3680,1,0.16964285714285715
87,5595,3,0.03571428571428571
87,5406,3,0.008928571428571428
87,4262,0,0.1875
87,4369,3,0.044642857142857144
87,3268,3,0.008928571428571428
87,2080,3,0.026785714285714284
87,6505,3,0.017857142857142856
87,4547,3,0.017857142857142856
87,3621,3,0.017857142857142856
88,1484,1,0.4
88,4369,3,0.2
88,4497,0,0.2
88,88,2,0.2
89,4988,2,0.4
89,4351,3,0.1
89,4351,1,0.1
89,1158,5,0.2
89,5258,0,0.2
90,1930,3,0.5
90,1930,0,0.5
91,5640,2,0.09523809523809523
91,4831,5,0.009523809523809525
91,998,1,0.02857142857142857
91,91,5,0.10476190476190476
91,91,4,0.2
91,91,0,0.2
91,3882,2,0.009523809523809525
91,1827,1,0.12380952380952381
91,6038,3,0.05714285714285714
91,2815,1,0.047619047619047616
91,5683,3,0.09523809523809523
91,4734,2,0.009523809523809525
91,4307,3,0.009523809523809525
91,3548,3,0.009523809523809525
92,92,4,0.2222222222222222
92,2176,5,0.1111111111111111
92,6569,2,0.1111111111111111
92,2332,0,0.2222222222222222
92,292,5,0.2222222222222222
92,2864,0,0.1111111111111111
93,93,5,0.15
93,93,4,0.3
93,93,1,0.1
93,2728,2,0.2
93,5824,3,0.15
93,4430,3,0.05
93,5038,0,0.05
94,2042,4,0.19230769230769232
94,2042,5,0.038461538461538464
94,2042,3,0.07692307692307693
94,3952,4,0.038461538461538464
94,3952,0,0.038461538461538464
94,5279,2,0.07692307692307693
94,4525,0,0.038461538461538464
94,94,5,0.07692307692307693
94,94,3,0.07692307692307693
94,94,4,0.038461538461538464
94,3751,0,0.038461538461538464
94,1646,1,0.07692307692307693
94,2389,2,0.038461538461538464
94,4765,1,0.07692307692307693
94,3146,0,0.038461538461538464
94,1719,2,0.038461538461538464
95,95,4,0.25
95,4495,3,0.25
95,3637,4,0.25
95,6172,2,0.25
96,96,5,0.4444444444444444
96,311,3,0.1111111111111111
96,3555,2,0.1111111111111111
96,951,1,0.1111111111111111
96,6570,0,0.2222222222222222
97,1826,2,0.5
97,1146,0,0.5
98,98,4,0.07272727272727272
98,98,0,0.09090909090909091
98,98,5,0.23636363636363636
98,4995,1,0.01818181818181818
98,4995,3,0.2
98,5973,1,0.09090909090909091
98,3303,5,0.03636363636363636
98,3303,0,0.01818181818181818
98,1084,1,0.03636363636363636
98,757,1,0.01818181818181818
98,2652,2,0.09090909090909091
98,3507,2,0.01818181818181818
98,2444,1,0.01818181818181818
