from,to,action,p(s'a|s)
150,644,1,0.0632111251580278
150,2336,0,0.041719342604298354
150,996,0,0.0606826801517067
150,2558,1,0.0050568900126422255
150,2308,3,0.007585335018963337
150,2308,5,0.0050568900126422255
150,2308,4,0.008849557522123894
150,2308,2,0.0037926675094816687
150,1489,0,0.008849557522123894
150,1489,3,0.06573957016434892
150,2664,0,0.04424778761061947
150,2649,1,0.03792667509481669
150,1965,1,0.045512010113780026
150,482,0,0.006321112515802781
150,2258,3,0.0025284450063211127
150,2258,0,0.0012642225031605564
150,2136,2,0.0025284450063211127
150,712,1,0.0012642225031605564
150,1455,0,0.0012642225031605564
150,1009,0,0.0037926675094816687
150,1910,5,0.0012642225031605564
150,1118,1,0.0012642225031605564
151,2581,0,0.125
151,151,4,0.125
151,151,0,0.125
151,151,2,0.125
151,151,3,0.125
151,676,5,0.125
151,676,2,0.125
151,676,4,0.125
152,152,5,0.6666666666666666
152,2346,1,0.3333333333333333
153,1224,2,1.0
154,1121,0,0.16666666666666666
154,1713,1,0.08333333333333333
154,1961,2,0.08333333333333333
154,154,3,0.08333333333333333
154,154,2,0.16666666666666666
154,845,0,0.16666666666666666
154,1099,1,0.08333333333333333
154,1759,5,0.08333333333333333
154,2251,3,0.08333333333333333
155,2350,4,0.3333333333333333
155,155,5,0.3333333333333333
155,441,3,0.3333333333333333
156,2045,1,1.0
157,157,4,0.42857142857142855
157,741,0,0.2857142857142857
157,1185,1,0.14285714285714285
157,2479,2,0.14285714285714285
158,158,5,0.1724137931034483
158,158,3,0.10344827586206896
158,158,4,0.10344827586206896
158,603,2,0.3793103448275862
158,140,1,0.06896551724137931
158,572,1,0.06896551724137931
158,336,0,0.10344827586206896
159,2304,1,1.0
160,848,1,1.0
161,2561,3,0.2
161,161,4,0.4
161,1926,0,0.2
161,841,1,0.2
162,162,4,0.14285714285714285
162,162,5,0.03571428571428571
162,162,2,0.25
162,162,3,0.07142857142857142
162,162,0,0.03571428571428571
162,1737,1,0.21428571428571427
162,1978,5,0.07142857142857142
162,2527,5,0.03571428571428571
162,1955,0,0.03571428571428571
162,1955,4,0.03571428571428571
162,2021,0,0.03571428571428571
162,2065,0,0.03571428571428571
163,163,1,0.17543859649122806
163,163,4,0.19298245614035087
163,163,5,0.14035087719298245
163,102,3,0.19298245614035087
163,774,2,0.21052631578947367
163,1061,0,0.07017543859649122
163,1448,0,0.017543859649122806
164,1761,1,1.0
165,165,3,0.4
165,165,2,0.2
165,112,5,0.2
165,804,5,0.2
166,1973,1,1.0
167,581,2,0.42857142857142855
167,264,1,0.14285714285714285
167,167,4,0.14285714285714285
167,167,3,0.14285714285714285
167,1073,5,0.14285714285714285
168,168,5,0.16326530612244897
168,168,0,0.16326530612244897
168,168,4,0.12244897959183673
168,2024,2,0.2653061224489796
168,1532,1,0.02040816326530612
168,2566,3,0.20408163265306123
168,1308,1,0.061224489795918366
169,319,3,0.25
169,169,5,0.25
169,1437,3,0.25
169,919,0,0.25
170,188,2,0.09375
170,170,0,0.0625
170,170,5,0.1875
170,170,4,0.1875
170,1481,3,0.25
170,2326,1,0.21875
171,171,5,0.18181818181818182
171,171,0,0.2727272727272727
171,171,4,0.18181818181818182
171,892,1,0.09090909090909091
171,2015,1,0.09090909090909091
171,206,2,0.09090909090909091
171,1844,3,0.09090909090909091
172,1411,5,0.5
172,1503,1,0.25
172,2327,2,0.25
